[Pokedex] 08042024.120209.472 [I] - Loading pokedex..
[Pokedex] 08042024.120212.705 [I] - Added pokemon 1:Bulbasaur
[Pokedex] 08042024.120212.726 [I] - Added pokemon 2:Ivysaur
[Pokedex] 08042024.120212.737 [I] - Added pokemon 3:Venusaur
[Pokedex] 08042024.120212.753 [I] - Added pokemon 4:Charmander
[Pokedex] 08042024.120212.771 [I] - Added pokemon 5:Charmeleon
[Pokedex] 08042024.120212.788 [I] - Added pokemon 6:Charizard
[Pokedex] 08042024.120212.803 [I] - Added pokemon 7:Squirtle
[Pokedex] 08042024.120212.821 [I] - Added pokemon 8:Wartortle
[Pokedex] 08042024.120212.835 [I] - Added pokemon 9:Blastoise
[Pokedex] 08042024.120212.852 [I] - Added pokemon 10:Caterpie
[Pokedex] 08042024.120212.865 [I] - Added pokemon 11:Metapod
[Pokedex] 08042024.120212.886 [I] - Added pokemon 12:Butterfree
[Pokedex] 08042024.120212.904 [I] - Added pokemon 13:Weedle
[Pokedex] 08042024.120212.919 [I] - Added pokemon 14:Kakuna
[Pokedex] 08042024.120212.936 [I] - Added pokemon 15:Beedrill
[Pokedex] 08042024.120212.958 [I] - Added pokemon 16:Pidgey
[Pokedex] 08042024.120212.974 [I] - Added pokemon 17:Pidgeotto
[Pokedex] 08042024.120212.993 [I] - Added pokemon 18:Pidgeot
[Pokedex] 08042024.120213.006 [I] - Added pokemon 19:Rattata
[Pokedex] 08042024.120213.032 [I] - Added pokemon 20:Raticate
[Pokedex] 08042024.120213.054 [I] - Added pokemon 21:Spearow
[Pokedex] 08042024.120213.073 [I] - Added pokemon 22:Fearow
[Pokedex] 08042024.120213.087 [I] - Added pokemon 23:Ekans
[Pokedex] 08042024.120213.107 [I] - Added pokemon 24:Arbok
[Pokedex] 08042024.120213.128 [I] - Added pokemon 25:Pikachu
[Pokedex] 08042024.120213.154 [I] - Added pokemon 26:Raichu
[Pokedex] 08042024.120213.173 [I] - Added pokemon 27:Sandshrew
[Pokedex] 08042024.120213.189 [I] - Added pokemon 28:Sandslash
[Pokedex] 08042024.120213.207 [I] - Added pokemon 29:Nidoran♀
[Pokedex] 08042024.120213.232 [I] - Added pokemon 30:Nidorina
[Pokedex] 08042024.120213.252 [I] - Added pokemon 31:Nidoqueen
[Pokedex] 08042024.120213.270 [I] - Added pokemon 32:Nidoran♂
[Pokedex] 08042024.120213.287 [I] - Added pokemon 33:Nidorino
[Pokedex] 08042024.120213.306 [I] - Added pokemon 34:Nidoking
[Pokedex] 08042024.120213.327 [I] - Added pokemon 35:Clefairy
